                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 1.0916,                 1.9829,                 1.2915,                0.95792,                0.99286,                  0.995,                0.81518,                0.75299,                  1.116,                 1.0293,             0.00010365,             0.00010365,             0.00010365
                     81,                 1.0105,                  1.775,                 1.2092,                0.95792,                0.99286,                  0.995,                0.81518,                0.75299,                  1.116,                 1.0293,             9.9144e-05,             9.9144e-05,             9.9144e-05
                     82,                 1.0106,                 1.8824,                  1.209,                0.97017,                0.99531,                  0.995,                0.81964,                0.74336,                 1.0654,                 1.0241,              9.464e-05,              9.464e-05,              9.464e-05
                     83,                 1.2059,                 1.9208,                 1.2832,                0.97017,                0.99531,                  0.995,                0.81964,                0.74336,                 1.0654,                 1.0241,             9.0135e-05,             9.0135e-05,             9.0135e-05
                     84,                   1.19,                 2.2131,                 1.3323,                0.97949,                      1,                  0.995,                0.83034,                0.73359,                 1.0419,                  1.018,             8.5631e-05,             8.5631e-05,             8.5631e-05
                     85,                 1.0574,                 1.7208,                 1.2025,                0.97949,                      1,                  0.995,                0.83034,                0.73359,                 1.0419,                  1.018,             8.1127e-05,             8.1127e-05,             8.1127e-05
                     86,                  1.155,                  1.818,                 1.2481,                0.98308,                0.99836,                  0.995,                0.82818,                0.72829,                 1.0251,                 1.0157,             7.6622e-05,             7.6622e-05,             7.6622e-05
                     87,                  1.128,                 1.7859,                 1.2233,                0.98308,                0.99836,                  0.995,                0.82818,                0.72829,                 1.0251,                 1.0157,             7.2118e-05,             7.2118e-05,             7.2118e-05
                     88,                0.88225,                 1.8324,                 1.1473,                0.98359,                0.99262,                  0.995,                0.83669,                0.71323,                 1.0136,                 1.0158,             6.7613e-05,             6.7613e-05,             6.7613e-05
                     89,                0.86395,                 1.6738,                 1.1277,                0.98359,                0.99262,                  0.995,                0.83669,                0.71323,                 1.0136,                 1.0158,             6.3109e-05,             6.3109e-05,             6.3109e-05
                     90,                0.95448,                 1.5899,                 1.1863,                0.98084,                0.99341,                  0.995,                0.83669,                0.69601,                  1.004,                 1.0126,             5.8604e-05,             5.8604e-05,             5.8604e-05
                     91,                0.82324,                 2.3558,                 1.1181,                0.98084,                0.99341,                  0.995,                0.83669,                0.69601,                  1.004,                 1.0126,             5.4099e-05,             5.4099e-05,             5.4099e-05
                     92,                0.95265,                 2.4329,                 1.1515,                0.97654,                0.99283,                  0.995,                0.84116,                0.68024,                0.98702,                 1.0079,             4.9595e-05,             4.9595e-05,             4.9595e-05
                     93,                0.82485,                 2.2703,                 1.0996,                0.97654,                0.99283,                  0.995,                0.84116,                0.68024,                0.98702,                 1.0079,              4.509e-05,              4.509e-05,              4.509e-05
                     94,                0.84412,                 2.3749,                 1.0395,                0.98277,                0.99212,                  0.995,                0.83738,                0.67178,                0.99014,                 1.0056,             4.0586e-05,             4.0586e-05,             4.0586e-05
                     95,                0.80949,                 2.2008,                 1.1261,                0.98277,                0.99212,                  0.995,                0.83738,                0.67178,                0.99014,                 1.0056,             3.6081e-05,             3.6081e-05,             3.6081e-05
                     96,                0.86574,                 2.3575,                 1.1055,                0.98367,                0.99881,                  0.995,                 0.8454,                0.66697,                 1.0033,                0.99991,             3.1577e-05,             3.1577e-05,             3.1577e-05
                     97,                0.77686,                 2.1798,                 1.0414,                0.98367,                0.99881,                  0.995,                 0.8454,                0.66697,                 1.0033,                0.99991,             2.7073e-05,             2.7073e-05,             2.7073e-05
                     98,                0.76587,                 2.1407,                 1.0152,                0.98329,                      1,                  0.995,                0.84633,                0.67078,                 1.0154,                0.99922,             2.2568e-05,             2.2568e-05,             2.2568e-05
                     99,                0.89695,                 2.1917,                 1.1395,                0.98329,                      1,                  0.995,                0.84633,                0.67078,                 1.0154,                0.99922,             1.8064e-05,             1.8064e-05,             1.8064e-05
                    100,                0.87965,                 2.2801,                 1.0449,                0.98188,                      1,                  0.995,                0.85125,                0.67931,                 1.0215,                0.99956,             1.3559e-05,             1.3559e-05,             1.3559e-05
