                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.54109,                 1.3424,                0.86434,                0.93198,                0.93146,                  0.995,                0.92455,                0.42571,                0.62766,                0.81474,             0.00016597,             0.00016597,             0.00016597
                     79,                0.60182,                 1.3802,                0.92892,                0.93751,                 0.9242,                0.97587,                0.91609,                0.42453,                 0.6272,                0.81544,             0.00016377,             0.00016377,             0.00016377
                     80,                 0.5782,                 1.3002,                0.89194,                0.89583,                0.94048,                0.97587,                0.91918,                0.42968,                0.63474,                0.81367,             0.00016157,             0.00016157,             0.00016157
                     81,                0.55969,                 1.2402,                0.89711,                0.94476,                0.90943,                0.97587,                0.91505,                0.43037,                 0.6392,                0.81243,             0.00015937,             0.00015937,             0.00015937
                     82,                0.57155,                 1.4181,                0.89404,                0.94506,                  0.908,                0.97587,                0.91305,                0.42508,                0.63131,                0.81164,             0.00015718,             0.00015718,             0.00015718
                     83,                 0.5327,                 1.2295,                0.88393,                0.94635,                0.90413,                 0.9663,                 0.9056,                0.42416,                0.62515,                 0.8118,             0.00015498,             0.00015498,             0.00015498
                     84,                0.56271,                 1.3621,                0.90566,                0.92328,                0.93163,                0.96949,                0.90739,                0.42568,                0.62498,                0.81282,             0.00015278,             0.00015278,             0.00015278
                     85,                0.55135,                 1.2412,                0.84896,                0.93829,                0.93328,                0.96949,                0.89855,                0.43411,                 0.6184,                0.81372,             0.00015058,             0.00015058,             0.00015058
                     86,                0.50006,                 1.2464,                0.87586,                0.95945,                0.94142,                0.96949,                0.90849,                0.41063,                0.59741,                0.80757,             0.00014838,             0.00014838,             0.00014838
                     87,                0.52852,                 1.2668,                0.87908,                0.95608,                0.94144,                0.96949,                 0.9081,                0.40708,                0.57808,                0.80532,             0.00014619,             0.00014619,             0.00014619
                     88,                0.57066,                 1.3481,                0.86806,                0.94662,                 0.9351,                 0.9663,                0.90442,                0.40886,                0.56048,                0.80604,             0.00014399,             0.00014399,             0.00014399
                     89,                0.50967,                  1.198,                0.86851,                 0.9556,                0.93243,                0.96438,                0.91267,                0.40362,                 0.5609,                0.80476,             0.00014179,             0.00014179,             0.00014179
                     90,                 0.4912,                 1.1616,                0.85286,                0.94701,                0.93883,                0.96438,                0.90434,                0.41344,                0.57494,                0.80566,             0.00013959,             0.00013959,             0.00013959
                     91,                0.52931,                 1.1347,                0.87328,                0.94413,                0.94409,                0.96438,                0.91129,                0.40986,                0.57201,                 0.8062,              0.0001374,              0.0001374,              0.0001374
                     92,                0.49136,                 1.1689,                0.84864,                0.94294,                0.91145,                0.95797,                0.90905,                0.39571,                 0.5757,                0.80589,              0.0001352,              0.0001352,              0.0001352
                     93,                   0.52,                 1.2281,                  0.878,                0.94071,                0.91746,                0.95797,                0.90781,                 0.3917,                0.58471,                0.80613,               0.000133,               0.000133,               0.000133
                     94,                0.44529,                 1.1568,                0.85936,                0.93241,                0.92101,                0.95797,                0.90928,                0.39846,                0.59599,                0.80607,              0.0001308,              0.0001308,              0.0001308
                     95,                0.50639,                  1.098,                0.85242,                0.93202,                0.92517,                0.95989,                0.91062,                0.39641,                 0.5866,                0.80507,              0.0001286,              0.0001286,              0.0001286
                     96,                0.47542,                 1.0969,                0.85969,                 0.9418,                0.91842,                0.96308,                0.91521,                0.38855,                0.58377,                 0.8021,             0.00012641,             0.00012641,             0.00012641
                     97,                 0.4923,                   1.18,                 0.8535,                 0.9464,                0.92276,                0.96308,                0.91891,                0.38188,                0.57563,                 0.8021,             0.00012421,             0.00012421,             0.00012421
                     98,                0.49665,                 1.1068,                0.86604,                0.94908,                0.91858,                0.95989,                0.91702,                0.37091,                0.54916,                 0.8026,             0.00012201,             0.00012201,             0.00012201
                     99,                 0.5025,                 1.1524,                0.86601,                0.93169,                 0.9447,                0.96308,                0.92082,                0.36468,                0.53797,                0.80099,             0.00011981,             0.00011981,             0.00011981
